"","tweet"
"1","survey gonna win president"
"2","legit boboto botante makakaboto president"
"3","kulay asul puti simbolo tunay tapat mapayapa pamumuno"
"4","pwedeng laitin bbm sumasali opposition debate mismong kandidato opposition debate ipokrita"
"5","pwedeng theme songs never gonna give rick astley im never gonna give cynthia rhodes frank stallone never give sia"
"6","simple candidate skips interviewdebate duwag based premise leody pinakamatapang counted di paginvite pinakaduwag pakisagot"
"7","diretso nakaw scam projects lalim pilipinas ma tatalo kenya africa leader"
"8","puso tatanongin kulay puso"
"9","nalungkot"
"10","maraming salamat mam pagsend tama popularity contest pagpili iboboto pinagiisipan maige"
"11","duwag dadalo debate bukas asan honor"
"12","ping lacson tito sotto turn debates due"
"13","platform based debate martial law based discussion"
"14","president napakaliit chance pink bbm labanan aattend debate"
"15","support restoration remove religion equation legally married legally marriage plain simple act"
"16","solid supporter president ping lacson"
"17","bts related yeah president"
"18","kinabukasan tama ipaglaban mali labanan"
"19","im tired redyellowpink fights nakakasawa bangayan leni ping lacson"
"20","kpopsj related respect family nakaka decide iboto plataporma kandidado pagka pangulo thank"
"21","else marealize kapwafilipino pilipinas"
"22","mahihirapan silang pumorma slate mangungurakot president iayos government"
"23","stop attacking people looks stop canceling people choice stop speaking ill people beliefs"
"24","gaganapin eleksyon sinong kandidato pagkapangulo iboboto"
"25","go"
"26","lacson continuity president ping continue policies programs president duterte improve"
"27","presidential debate hear plans makes think face moment answers mahirap ordinary citizen tax payer message"
"28","push brave"
"29","know sentiment coming formal statement obvious bias bernie sanders walked fox news couldnt viewers panelists credible maboost campaign"
"30","thought socalled biopic ping lacson super cop seen mess astigan bayuhan namang substance personalidad sen ping think deserves new better biopic"
"31","maayo unta ug mahayagan imong utok holy spirit"
"32","statistically speaking naa juy clear winner coming election boto imu labyu ping"
"33","iconsider pagboto dalawang aspeto pangangailangan kagustohan bansa tapat marunong magpakumbaba higit takot mawalan kaalyado kaibigan madumihan"
"34","character integrity discipline compassion competence call public servant truly genuine reform country unfortunately matured intelligent voters barely elect public servant"
"35","titibay tiwala gobyerno presidente"
"36","president volunteer campaign puso college issue pork barrel taas respeto tiwala deserve"
"37","president lt"
"38","tandaan cinco lacson nueve sotto mayo tambalang karapat mamuno bansa imemorize"
"39","tambalang malinaw plataporma ikauunlad ikaka ayos buhay filipino aayusin gobyerno aayusin buhay pilipino"
"40","lacson highlighted role youth steering course nations history addressed people tagum earlier"
"41","cinco nueve mayo imemorize"
"42","lacson know good hands malinaw platform based available data knows kukunan support unlike candidates pulos motherhood statements nangopya platform"
"43","lacsonsotto"
"44","solid"
"45","ashamed couldnt able attend full support sen"
"46","napakagandang artwork gandang larawan senator ping lacson napakagaling hector gawin munang profile ganda"
"47","might candidate choice wins voting candidate biggest chance winning lamest reason candidate wisely"
"48","matalino election dun tapat malasakit bayan"
"49","mabuhay kaupresident lacson president tito"
"50","smart voters ris updont waste ping lacson president"
"51","siempre lacson sotto"
"52","el presidente fellow pinoys hear phrase best president never next six chance"
"53","idol mamayagpag halalan karapatdapat manalo"
"54","senado lbm stan"
"55","senator kiko manuelenians dagupan support"
"56","faith warrior god god bless good luck sotto presidential election entire team"
"57","military institution pma obtaining lifetime achievement award rare difficult award achieve involves hardwork discipline fealty pma stands courage integrity loyalty"
"58","neverhuwag hayaang best president never ping lacson tama yorme asset bayan"
"59","nr balota"
"60","lacsonsotto nakipag bonding baguio"
"61","usapang tapat bola hatid tambalang lacsonsotto toda urdaneta"
"62","di ta anang agion ra tag binugoy oi ari ta klaro kaayo"
"63","sayangin boto piliin talagang makakapag bigay maayos tulong bansa mamamayang pilipino ping lacson us masters fate ping lacson"
"64","marites corpuz dating supporter lacson"
"65","ubusin magnanakaw ayusin gobyerno umaayos buhay pilipino"
"66","solusyon vs pagtaas presyo bilihin mararamdaman mahihirap"
"67","tumanggap lifetime achievement award philippine military academy"
"68","nation needs true servant leader leads example walks talk set singlestandard policy colorless leader full hatred colored promotes divisiveness"
"69","pormal inendorso magalong lacsonsotto tandem press conference ginanap newtown plaza hotel"
"70","magalong filipino voters must realize potential consequences decisions choose maintain status quo miss opportunity picking upright leaders lacson sotto"
"71","nakatanggap sen ping lacson lifetime achievenemt award pma baguio"
"72","receives pma lifetime achievement award dedicated exemplary unblemished service country"
"73","disiplina dahas iniisip maraming de displina de displina sen kapulisan gumamit dya dahas displina integridad"
"74","organized ashs pinasulong committee help ignite awareness critical thinking within student body fight better tomorrow aspire art literature article isabella magno julia mangmang"
"75","live magnolia vs phoenix super lpg pba rush"
"76","erehe suwail subersibo rebelde rebolusyonaryo pinatay taon nakakaraan mapagpalaya diwa"
"77","live alaska vs rain shine pba rush"
"78","di naisip ipitin lalakas paniningdigan mamahal vpl"
"79","live vs pba rush"
"80","claiming"
"81","maayos gobyerno"
"82","panggiyera tunay maaasahan"
"83","gyera lacson sotto mabuting hangarin bayan"
"84","susuportahan lacsonsotto tandem tapat bahid kurapsyon"
"85","salute ping andito kaming suporta goodluck"
"86","good leader sen ping lacson matagal napatunayan maglingkod bayan panatilihing mapayapa malagoa bansa"
"87","deserve next president sen ping lacson bayan totoong pagbabago hangad"
"88","couldnt wish ping lacson proves better else proud sen ping came far"
"89","article un charter ph signatory"
"90","townhall meeting lucena quezon province"
"91","tunay leader inisip kaligtasan pangangailangan mamamayang pilipino"
"92","deadlines"
"93","hinangaan ping lacson tapat paglilingkod bayan pamumuno sigurado mawawala korapsyon gobyerno"
"94","galing napaguusapan pinoy usbrave movers"
"95","angat panalo pilipino lacsonsotto"
"96","must kept wrong must set"
"97","salamat vp leni former sec abella doctor montemayor"
"98","bomoto tama ping lacson"
"99","yaaaaaassss"
"100","killing damn debatewe deserve better"
"101","ukraine vs russia crisis ping lacson metaphorically itabi"
"102","forum ra kaayo questions though feel debate anyway proud answers tonight ehe"
"103","solid"
"104","maglokohan mahirap buhay maraming pilipino magnanakaw gobyerno ubusin magnanakaw"
"105","tama sen ping lacson halos presidentiables kagabi inulitulit senping problema bansa maisasaayos pangulo malalasing kapangyarihang kaakibat posisyon"
"106","pause sen ping sound bell signaling time spoke volumes approach observing rules"
"107","malinis gobyerno hihintay"
"108","aba napaaga idol go sen ping lacson"
"109","truly leader ping lacson restore trust faith humanity phils better soon thru leadersh"
"110","tama tama ping bumoto tama"
"111","agree tama pinglacson tama ping bumoto tama"
"112","tama leader nmintama ping bumoto tama"
"113","agree leader nmin tama ping bumoto tama"
"114","pambato pangulo agree leader nmin tama ping bumoto tama"
"115","pinglacson president tama ping bumoto tama"
"116","agree leader pinglacson president tama ping bumoto tama"
"117","presidential candidates tama ping bumoto tama"
"118","napakahalaga boto tao gamitin tamang tao solid"
"119","napakahusay ping lacson"
"120","great job cnn debate sen ping lacson"
"121","masasabi naten tagumpay pagsuporta ping lacson"
"122","matalino magaling ping ah"
"123","galing debate kahapon idol ping lacson"
"124","tama ping lacson iboto"
"125","ping lacson high integrity bahid corruption matapang leader wisely"
"126","presidential candidates tama ping bumoto tama"
"127","ping second choice choice"
"128","cebuano solid ping ragud"
"129","always ready ping lacson"
"130","network endorsed candidate clan balimbing"
"131","tumatakbo sinasabi tama"
"132","pinahanga pinaka kwalipikadong mamuno bansang pilipinas"
"133","end term pinoy looks better administration started"
"134","alert level hopefully covid leave us stronger nation amidst criticisms convinced strong leadership political better"
"135","malaman ping lacson napupusuang kandidato pagkapangulo"
"136","mukhang suplado senator palangiting magnanakaw gobyerno seryoso malinis kumikilos kapakanan pilipino uulitin masarap ulam"
"137","maayos paggamit pondo ayusin gobyerno pondo maraming makikinabang maliliit komunidad"
"138","luvit watched wasnt hardly finished trudo tail leg great speach great statesman"
"139","lacson stronger rampd funding boost pinoy rice farmers"
"140","tamang pamumuno magkakaroon budget kababayan tamang lider maibibigay tama mababantayan higpit malasakit piso"
"141","lalaban maayos gobyerno maayos kinabukasan pilipino"
"142","highest inflation decades giving guns terrorists afghanistan shuts pipe line less environmentally harmful russias russian oil sanctions go"
"143","ruso envasion might encourage sleeping giant call geopolitically wise leader coming elections country kakayahan katapangan katapatan"
"144","ping lacson chose"
"145","tagal sinasabi sen ping lacson niyan lone crusader righting wrongs tuwing budget deliberations choose real leader"
"146","couldnt agree"
